length ,width
9.608133167,15.39230857
29.07157108,30.22115774
10.45572609,21.57866868
30.00427327,29.92063232
9.067346499,22.52076704
9.986127618,10.53155587
12.38080368,19.90565469
15.10498856,15.6194186
14.93861268,17.0379417
30.58867449,28.7805817
10.14600269,10.50309191
30.03235704,30.09193468
14.63033562,14.4915096
9.607660561,11.55406444
30.30001639,30.41636531
15.47461209,14.50005148
14.00018423,15.4571059
9.639002128,22.04498476
9.717406374,19.16913081
29.77824469,30.33847786
10.69409007,11.65549253
10.02428282,19.26828213
8.577188181,19.93853656
9.614827608,9.906121443
8.24743167,19.88787617
14.86459897,15.08865834
8.681356566,9.168875867
15.31841016,12.93209495
9.830336306,15.62462464
13.30596899,15.23878733
13.79711716,20.01129084
13.07237685,13.58980061
14.6093385,13.88622717
15.52309536,14.9950249
30.32163482,31.19644928
29.89339721,30.4566311
14.30172319,13.0358997
9.514894619,14.97869485
9.171059055,15.13843577
9.980800904,14.69557851
30.4222184,29.21450313
30.43199384,30.14168275
10.46257185,19.04334414
29.69599273,30.01212098
10.39653284,11.90232719
29.95832842,31.04347461
6.711447523,21.20220474
12.59146541,9.068843871
10.02343934,19.34522587
10.49122216,8.553122324
11.31097601,20.30055013
15.53260759,13.85254932
10.26618098,20.04660132
10.25779024,10.40158773
14.890777,15.75150984
9.336030068,9.514019684
29.70133913,29.78338611
16.25579742,15.54403054
30.03445315,30.15137483
14.96357181,15.54777112
14.93554004,14.32232887
15.488926,14.53849914
10.38928249,19.45784849
16.00903271,14.57403983
30.5403105,30.05639667
14.41855335,14.6185712
10.24997146,15.15878007
8.530344939,20.35840726
9.258921897,9.66367899
9.934234667,14.93497028
13.74562008,15.22630539
8.725706471,18.70508574
14.0597148,16.02386296
10.39765193,15.41724151
10.75130314,20.97336754
30.55390053,29.7878049
16.60003964,12.48238734
10.8973699,10.00861916
8.062535647,21.13540703
30.33359584,29.8504359
10.03172334,10.01697299
9.204048335,14.44335789
9.939675362,15.20015704
15.08457953,14.9373623
8.685522359,20.51223757
16.19086169,14.99362614
8.996767448,20.59448295
9.822556834,15.27479012
9.267933764,15.14710073
30.18657483,30.33372208
14.55687249,15.23656579
9.992754832,15.62958364
28.95497883,29.49202099
14.57042973,15.42330921
9.432538978,15.11976142
10.72477995,10.95060028
29.79478201,29.917132
29.54984361,30.12732185
12.35954934,19.87200233
12.82252961,13.68650059
10.79120191,9.72211871
16.85832287,14.38708475
29.64345347,30.33417213
12.98757075,15.32584003
9.286582087,22.17774617
10.1988222,20.58957697
10.53354811,19.09547859
29.65658938,30.59779597
15.17505859,15.23648498
9.731911165,15.0073618
8.752353114,19.32912127
17.96977851,16.38652071
29.6459026,30.45616233
29.88359803,30.53878396
14.30307293,14.90374846
11.56092623,20.43428776
14.91070272,13.05424655
29.87909669,30.0374908
30.15980659,29.59096384
9.601413119,10.02030472
9.860224362,15.42493964
10.3952713,11.60878083
10.28629412,12.38851999
9.816414321,18.99038494
13.95708101,15.67975712
10.29598186,15.43835117
10.02354201,11.42211022
10.56379215,8.24173183
9.610200366,15.07081169
10.43712388,18.76980528
9.504399318,11.03761291
10.76611325,10.5064528
8.86263048,10.9352672
8.909950495,22.09199719
14.22731012,16.91218963
30.0184731,29.59040595
10.8535661,19.23812408
29.93851037,30.63939268
10.84413286,15.35590481
12.28518613,7.174179578
30.0728716,29.2568318
10.60792132,15.04403065
13.21353697,15.09107438
29.68585017,29.29390086
9.077590704,14.36905549
9.307429842,14.05627558
8.544881422,15.67200676
9.843390899,15.42135202
14.26932058,15.99928772
9.543084159,14.8180465
29.79767351,30.58760497
9.491832235,9.98224395
9.887911515,21.31146838
10.25836697,10.17588416
8.991394339,10.88764597
10.82268243,11.82444763
10.4908646,20.6659754
15.77673824,14.71937104
10.17772908,21.7824275
30.37105519,29.58287337
30.3420696,30.46120129
29.61852808,30.64959616
10.68687666,15.17452554
12.50700095,9.099756627
13.65943219,15.93340497
10.42468085,10.33005548
8.731854691,7.709062874
10.21262025,15.13429368
9.774073982,14.30982905
29.66841865,29.0643446
7.925113738,21.47341077
30.00232276,30.53531009
9.17517695,10.34860817
6.422111604,17.73080115
8.518594713,20.86851149
10.67160684,14.86434596
9.646863751,14.97462337
10.25049094,16.55165821
10.43449405,15.09575087
29.28320073,29.4273172
10.14223044,15.27727937
10.14276829,10.20215221
8.185922892,18.11308826
30.66570155,30.23523752
9.54970765,20.36917191
29.86911731,29.22393805
8.323199286,9.92856295
10.25432263,11.10412403
29.65698428,30.28228256
9.843581979,14.37682025
8.772566419,9.363916635
30.64169994,29.54050248
11.01501352,20.63235916
9.963189712,9.457688895
11.25024476,20.81570644
10.87286352,20.29885965
9.556388384,19.59644161
30.07305076,30.13686324
11.39842653,21.15380458
15.54094373,14.34768033
7.765204142,11.31500832
14.86469647,15.90266039
9.981341149,19.09752714
15.81475006,14.68865774
11.52668455,21.81170064
30.07309562,31.60644205
8.869819446,10.1268196
8.574861289,20.62975346
30.28663976,29.40755906
29.1444828,29.66003488
8.966730636,14.97310572
9.96658492,20.43996131
15.24663039,15.93905737
10.0923099,15.10319392
10.49156476,14.42123286
14.43831525,13.8629258
11.50325352,20.44082005
10.43894469,15.01262541
9.98475455,19.64589733
12.25704283,18.60948681
9.457039983,15.36711631
9.028649855,18.176273
29.93104783,29.39137437
15.48758048,15.58259526
14.6874185,15.88616912
9.239774187,10.81585529
10.35664282,19.29915316
9.488650936,12.55947559
29.81734309,29.79307847
16.49597375,16.02578699
11.99842764,15.68128151
9.548817571,8.964640261
15.11145378,15.71001761
10.03453935,14.90867571
17.03152241,14.35515641
9.102602407,20.05227699
8.595637475,19.10874643
14.27312212,16.23702245
10.44048527,19.46496706
30.02028158,29.83610762
11.47147127,20.85807821
9.078857846,9.222141325
30.68275464,29.40284699
8.436592169,7.662255969
14.0041323,14.49265532
14.57387929,16.48135579
14.6700696,14.84913721
30.39552222,29.43878175
13.00935346,19.0039346
29.70930263,29.32537797
29.48877861,31.25522048
16.53711318,16.39557471
10.55976975,21.15813657
11.38712405,9.943851095
9.672634026,11.09675616
9.145111571,8.342027994
8.19777919,19.49451909
15.53707928,13.99303141
12.26832126,15.07388262
15.12940257,14.20970739
30.08729197,30.78130303
10.36376999,14.79598745
8.526353884,11.08957521
8.175857792,8.571202904
9.759450192,15.26759165
11.96028412,19.45326949
9.787560701,13.97064293
16.43851674,13.61937616
10.43925614,9.34610905
9.341341401,17.93731939
11.35527028,19.47107399
8.525077426,19.31736439
30.05741022,29.79843595
8.507496061,19.10235887
9.369890262,14.68707005
14.65743191,14.14392708
30.25274479,30.62822589
30.60282485,30.27132183
10.48396175,8.919325085
30.36197449,29.45886534
30.36758349,30.05788719
9.042735112,18.67705558
16.0001706,16.77373387
9.873282671,19.95294778
10.85231115,19.82356474
29.56842423,30.81696653
10.74315205,14.54019706
9.746091744,14.62742655
9.593954513,14.50391682
14.56744612,13.37299767
30.32183729,29.99406525
11.24602893,11.27256528
