length,width,label,outlier
9.608133167,15.39230857,0,0
29.07157108,30.22115774,1,0
10.45572609,21.57866868,3,0
30.00427327,29.92063232,1,0
9.067346499,22.52076704,3,0
9.986127618,10.53155587,4,0
12.38080368,19.90565469,3,0
15.10498856,15.6194186,2,0
14.93861268,17.037941699999998,2,0
30.58867449,28.7805817,1,0
10.14600269,10.50309191,4,0
30.03235704,30.09193468,1,0
14.63033562,14.491509599999999,2,0
9.607660561,11.55406444,4,0
30.30001639,30.41636531,1,0
15.47461209,14.50005148,2,0
14.00018423,15.4571059,2,0
9.639002128,22.04498476,3,0
9.717406374,19.16913081,3,0
29.77824469,30.33847786,1,0
10.69409007,11.65549253,4,0
10.02428282,19.26828213,3,0
8.577188181,19.93853656,3,0
9.614827607999999,9.906121443,4,0
8.24743167,19.88787617,3,0
14.86459897,15.08865834,2,0
8.681356566,9.168875867,4,0
15.31841016,12.93209495,2,0
9.830336306,15.62462464,0,0
13.30596899,15.23878733,2,0
13.79711716,20.01129084,3,1
13.07237685,13.58980061,2,0
14.609338500000002,13.88622717,2,0
15.52309536,14.9950249,2,0
30.32163482,31.19644928,1,0
29.89339721,30.4566311,1,0
14.30172319,13.035899699999998,2,0
9.514894619,14.97869485,0,0
9.171059055,15.13843577,0,0
9.980800904,14.69557851,0,0
30.422218400000002,29.21450313,1,0
30.43199384,30.14168275,1,0
10.46257185,19.04334414,3,0
29.69599273,30.01212098,1,0
10.39653284,11.90232719,4,0
29.95832842,31.04347461,1,0
6.7114475229999995,21.20220474,3,1
12.59146541,9.068843871,4,0
10.02343934,19.34522587,3,0
10.49122216,8.553122324,4,0
11.31097601,20.30055013,3,0
15.53260759,13.85254932,2,0
10.26618098,20.04660132,3,0
10.25779024,10.40158773,4,0
14.890776999999998,15.75150984,2,0
9.336030068,9.514019683999999,4,0
29.70133913,29.78338611,1,0
16.25579742,15.54403054,2,0
30.03445315,30.15137483,1,0
14.96357181,15.54777112,2,0
14.93554004,14.32232887,2,0
15.488926000000001,14.53849914,2,0
10.38928249,19.45784849,3,0
16.00903271,14.57403983,2,0
30.540310499999997,30.05639667,1,0
14.41855335,14.6185712,2,0
10.24997146,15.15878007,0,0
8.530344938999999,20.35840726,3,0
9.258921897,9.66367899,4,0
9.934234667,14.93497028,0,0
13.74562008,15.22630539,2,0
8.725706471,18.70508574,3,0
14.059714800000002,16.02386296,2,0
10.39765193,15.41724151,0,0
10.75130314,20.97336754,3,0
30.55390053,29.7878049,1,0
16.60003964,12.48238734,2,0
10.897369900000001,10.00861916,4,0
8.062535647,21.13540703,3,0
30.33359584,29.8504359,1,0
10.03172334,10.01697299,4,0
9.204048335,14.44335789,0,0
9.939675362000001,15.20015704,0,0
15.08457953,14.937362300000002,2,0
8.685522359,20.51223757,3,0
16.19086169,14.99362614,2,0
8.996767448,20.59448295,3,0
9.822556834,15.27479012,0,0
9.267933764,15.14710073,0,0
30.18657483,30.33372208,1,0
14.55687249,15.23656579,2,0
9.992754832000001,15.62958364,0,0
28.95497883,29.49202099,1,0
14.57042973,15.42330921,2,0
9.432538978,15.11976142,0,0
10.72477995,10.95060028,4,0
29.79478201,29.917132000000002,1,0
29.54984361,30.12732185,1,0
12.35954934,19.87200233,3,0
12.82252961,13.68650059,2,0
10.79120191,9.72211871,4,0
16.85832287,14.38708475,2,0
29.64345347,30.33417213,1,0
12.98757075,15.32584003,2,0
9.286582087000001,22.17774617,3,0
10.198822199999999,20.58957697,3,0
10.53354811,19.09547859,3,0
29.65658938,30.59779597,1,0
15.17505859,15.23648498,2,0
9.731911165,15.007361800000002,0,0
8.752353114,19.32912127,3,0
17.96977851,16.38652071,2,1
29.645902600000003,30.45616233,1,0
29.88359803,30.53878396,1,0
14.30307293,14.90374846,2,0
11.56092623,20.43428776,3,0
14.91070272,13.05424655,2,0
29.87909669,30.0374908,1,0
30.15980659,29.59096384,1,0
9.601413119,10.02030472,4,0
9.860224362,15.42493964,0,0
10.395271300000001,11.60878083,4,0
10.28629412,12.38851999,4,0
9.816414321,18.99038494,3,0
13.95708101,15.67975712,2,0
10.29598186,15.43835117,0,0
10.02354201,11.42211022,4,0
10.56379215,8.24173183,4,0
9.610200366,15.07081169,0,0
10.43712388,18.76980528,3,0
9.504399317999999,11.03761291,4,0
10.76611325,10.5064528,4,0
8.86263048,10.935267199999998,4,0
8.909950495,22.09199719,3,0
14.22731012,16.91218963,2,0
30.0184731,29.59040595,1,0
10.8535661,19.23812408,3,0
29.93851037,30.63939268,1,0
10.84413286,15.35590481,0,0
12.28518613,7.1741795779999995,4,1
30.072871600000003,29.256831800000004,1,0
10.60792132,15.04403065,0,0
13.21353697,15.09107438,2,0
29.68585017,29.29390086,1,0
9.077590704,14.36905549,0,0
9.307429842000001,14.05627558,0,0
8.544881422000001,15.67200676,0,0
9.843390899,15.42135202,0,0
14.26932058,15.99928772,2,0
9.543084159,14.8180465,0,0
29.79767351,30.58760497,1,0
9.491832235,9.98224395,4,0
9.887911515,21.31146838,3,0
10.25836697,10.17588416,4,0
8.991394339,10.88764597,4,0
10.82268243,11.82444763,4,0
10.4908646,20.665975399999997,3,0
15.77673824,14.71937104,2,0
10.17772908,21.7824275,3,0
30.37105519,29.58287337,1,0
30.3420696,30.46120129,1,0
29.61852808,30.64959616,1,0
10.68687666,15.17452554,0,0
12.50700095,9.099756627,4,0
13.65943219,15.93340497,2,0
10.42468085,10.33005548,4,0
8.731854691,7.709062874,4,0
10.21262025,15.13429368,0,0
9.774073982,14.30982905,0,0
29.66841865,29.0643446,1,0
7.925113737999999,21.47341077,3,0
30.00232276,30.53531009,1,0
9.17517695,10.34860817,4,0
6.4221116039999995,17.73080115,3,1
